nazwa,ikona,longitude,latitude,description
Chorągiew Wlkp. ZHP,j_zielen_A,52.407941,16.918558,
Hufiec ZHP Chodzież,j_zielen_1,52.990774,16.920689,
Hufiec ZHP Czerwonak im. Wojska Polskiego,j_zielen_1,52.479565,16.984203,
Hufiec ZHP Gniezno im. Bolesława Chrobrego,j_zielen_4, 52.531245,17.603354,
Hufiec ZHP Jarocin im. Lotnictwa Polskiego,j_zielen_2, 51.968253,17.499874,
Hufiec ZHP Kalisz im. ks. hm. Stanisława Piotrowskiego,j_zielen_4,51.751296,18.079975,
Hufiec ZHP Kępno im. Wojska Polskiego,j_zielen_0,51.275918,17.986585,
Hufiec ZHP Koło im. Kazimierza Wielkiego,j_zielen_4, 52.20488,18.63323,
Hufiec ZHP Konin im. Szarych Szeregów,c_zielen_3,52.234464,18.281783,
Hufiec ZHP Kościan im. hm. Floriana Marciniaka,j_zielen_3,52.082216,16.638064,
Hufiec ZHP Koźmin Wielkopolski im. Strajku Szkolnego Dzieci Koźmińskich 1906/07,j_zielen_1,51.82751,17.457042,
Hufiec ZHP Kórnik im. Tytusa Hrabiego Działyńskiego,j_zielen_0,52.251543,17.085038,
Hufiec ZHP Krotoszyn im. Powstańców Wielkopolskich,j_zielen_1,51.690962,17.438838,
Hufiec ZHP Leszno im. Żołnierzy Garnizonu Leszczyńskiego,j_zielen_1,51.840238,16.561408,
Hufiec ZHP Nowy Tomyśl im. Emilii Sczanieckiej,j_zielen_1, 52.320655, 16.118026,
Hufiec ZHP Oborniki Wielkopolskie im. Jana Miękusa,j_zielen_0,52.647919,16.810754,
Hufiec ZHP Ostrów Wielkopolski im. II Armii Wojska Polskiego,c_zielen_3,51.647531,17.816297,
Hufiec ZHP Ziemi Ostrzeszowskiej im. Szarych Szeregów,j_zielen_3,51.508386,18.122341,
Hufiec ZHP Piła im. Stanisława Staszica,j_zielen_0,53.156141,16.737102,
Hufiec ZHP Powiatu Kaliskiego w Opatówku im. Aleksandra Kamińskiego,j_zielen_0,51.738703,18.205775,
Hufiec ZHP Poznań-Grunwald im. Zwycięzców Grunwaldu,j_zielen_1, 52.390858,16.875188,
Hufiec ZHP Poznań-Jeżyce im. Stefana Czarnieckiego,j_zielen_1,52.429244,16.908438,
Hufiec ZHP Poznań – Nowe Miasto im. Bolesława Chrobrego,j_zielen_7,52.393337,16.949944,
Hufiec ZHP Poznań – Stare Miasto „Piast” im. Powstańców Wielkopolskich 1918/19,j_zielen_3,52.421417,16.934297,
Hufiec ZHP Poznań-Śródmieście „Siódemka” im. hm. Sylwestra Wietrzykowskiego,j_zielen_8,52.412512,16.894503,
Hufiec ZHP Poznań-Wilda im. Jana Kasprowicza,c_zielen_5,52.389359,16.914167,
Hufiec ZHP Poznań-Rejon im. Szarych Szeregów,j_zielen_6, 52.394055,16.903442,
Hufiec ZHP Rawicz im. Saperów Wojska Polskiego,j_zielen_0,51.615748,16.858875,
Hufiec ZHP Szamotuły im. Armii „Poznań”,j_zielen_0,52.604527,16.585171,
Hufiec ZHP Śmigiel im. dr. Franciszka Witaszka,j_zielen_0,52.013583,16.530492,
Hufiec ZHP Śrem im. „Mazurka Dąbrowskiego”,j_zielen_2,52.096121,17.023713,
Hufiec ZHP Środa Wielkopolska im. gen. Jana Henryka Dąbrowskiego,j_zielen_2,52.223772,17.281037,
Hufiec ZHP Trzcianka im. ppor. Emilii Gierczak,j_zielen_1, 53.037922,16.458274,
Hufiec ZHP Trzemeszno,j_zielen_1,52.558917,17.816879,
Hufiec ZHP Turek im. Mikołaja Kopernika,j_zielen_0,52.018075,18.496487,
Hufiec ZHP Wągrowiec im. hm. Franciszka Grajkowskiego,j_zielen_3,52.807031,17.192848,
Hufiec ZHP Września „WRZOS” im. Dzieci Wrzesińskich,c_zielen_3,52.331426,17.562918,
Hufiec ZHP Wschowa im. Janusza Meissnera,j_zielen_3,51.80735,16.306498,
Hufiec ZHP Złotów im. Bojowników o Wolność i Polskość Ziemi Złotowskiej,j_zielen_2,53.359886,17.047813,
